,consultas_vih,proporcion_consultas_vih,muestras_total,cd4_promedio,casos_cd4_bajo,proporcion_cd4_bajo,defunciones_vih,proporcion_defunciones_vih,pruebas_reactivas,pct_reactivas_consejeria,pct_reactivas_otros_programas
consultas_vih,1.0,0.6418,0.6916,-0.4115,0.6995,0.4465,-0.1536,0.007,0.49,-0.1691,-0.0061
proporcion_consultas_vih,0.6418,1.0,0.4325,-0.1544,0.4692,0.1793,0.0908,0.0776,-0.0434,0.1276,-0.3416
muestras_total,0.6916,0.4325,1.0,-0.2975,0.9491,0.3386,-0.2965,-0.2368,0.252,0.0549,0.0159
cd4_promedio,-0.4115,-0.1544,-0.2975,1.0,-0.644,-0.9692,-0.0494,0.2754,-0.2742,-0.0075,-0.0281
casos_cd4_bajo,0.6995,0.4692,0.9491,-0.644,1.0,0.6941,-0.2361,-0.2646,0.2956,0.0414,-0.0122
proporcion_cd4_bajo,0.4465,0.1793,0.3386,-0.9692,0.6941,1.0,0.1085,-0.2282,0.2259,0.056,0.0714
defunciones_vih,-0.1536,0.0908,-0.2965,-0.0494,-0.2361,0.1085,1.0,0.4386,-0.2961,0.1616,0.2339
proporcion_defunciones_vih,0.007,0.0776,-0.2368,0.2754,-0.2646,-0.2282,0.4386,1.0,0.1958,-0.4812,-0.2055
pruebas_reactivas,0.49,-0.0434,0.252,-0.2742,0.2956,0.2259,-0.2961,0.1958,1.0,-0.8369,-0.4464
pct_reactivas_consejeria,-0.1691,0.1276,0.0549,-0.0075,0.0414,0.056,0.1616,-0.4812,-0.8369,1.0,0.4928
pct_reactivas_otros_programas,-0.0061,-0.3416,0.0159,-0.0281,-0.0122,0.0714,0.2339,-0.2055,-0.4464,0.4928,1.0
