mes_origen,mes_destino,fecha_orden_mes_origen,fecha_orden_mes_destino,anio_origen,mes_origen_num,anio_destino,mes_destino_num,periodo_origen,periodo_destino,valor_anterior_proporcion_consultas_vih,valor_actual_proporcion_consultas_vih,delta_proporcion_consultas_vih,pct_delta_proporcion_consultas_vih,cambio_proporcion_consultas_vih,valor_anterior_proporcion_cd4_bajo,valor_actual_proporcion_cd4_bajo,delta_proporcion_cd4_bajo,pct_delta_proporcion_cd4_bajo,cambio_proporcion_cd4_bajo,valor_anterior_proporcion_defunciones_vih,valor_actual_proporcion_defunciones_vih,delta_proporcion_defunciones_vih,pct_delta_proporcion_defunciones_vih,cambio_proporcion_defunciones_vih
MES_2019_01,MES_2019_02,24229,24230,2019,1,2019,2,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,,,,,sin_dato,0.0064,0.0069,0.0004999999999999996,0.07812499999999993,sube
MES_2019_02,MES_2019_03,24230,24231,2019,2,2019,3,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,,,,,sin_dato,0.0069,0.0077,0.0008000000000000004,0.1159420289855073,sube
MES_2019_03,MES_2019_04,24231,24232,2019,3,2019,4,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,,,,,sin_dato,0.0077,0.0066,-0.0011000000000000003,-0.14285714285714288,baja
MES_2019_04,MES_2019_05,24232,24233,2019,4,2019,5,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,,,,,sin_dato,0.0066,0.0063,-0.0002999999999999999,-0.04545454545454544,baja
MES_2019_05,MES_2019_06,24233,24234,2019,5,2019,6,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,,,,,sin_dato,0.0063,0.0104,0.0040999999999999995,0.6507936507936507,sube
MES_2019_06,MES_2019_07,24234,24235,2019,6,2019,7,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,,0.22916666666666666,,,sin_dato,0.0104,0.0052,-0.0052,-0.5,baja
MES_2019_07,MES_2019_08,24235,24236,2019,7,2019,8,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,0.22916666666666666,0.3220338983050847,0.09286723163841806,0.40523882896764246,sube,0.0052,0.009,0.0037999999999999996,0.7307692307692307,sube
MES_2019_08,MES_2019_09,24236,24237,2019,8,2019,9,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,0.3220338983050847,0.36363636363636365,0.041602465331278926,0.12918660287081352,sube,0.009,0.0075,-0.0014999999999999996,-0.16666666666666663,baja
MES_2019_09,MES_2019_10,24237,24238,2019,9,2019,10,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,0.36363636363636365,0.3202247191011236,-0.043411644535240046,-0.11938202247191013,baja,0.0075,0.0056,-0.0018999999999999998,-0.2533333333333333,baja
MES_2019_10,MES_2019_11,24238,24239,2019,10,2019,11,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,0.3202247191011236,0.2265625,-0.0936622191011236,-0.2924890350877193,baja,0.0056,0.0061,0.0005000000000000004,0.08928571428571437,sube
MES_2019_11,MES_2019_12,24239,24240,2019,11,2019,12,PREPANDEMIA,PREPANDEMIA,,,,,sin_dato,0.2265625,0.31666666666666665,0.09010416666666665,0.3977011494252873,sube,0.0061,0.0063,0.00019999999999999966,0.03278688524590158,sube
