fecha_orden_mes,anio,mes,total_consultas,consultas_vih,proporcion_consultas_vih,muestras_total,cd4_promedio,casos_cd4_bajo,proporcion_cd4_bajo,total_defunciones,defunciones_vih,proporcion_defunciones_vih,pruebas_reactivas,pct_reactivas_consejeria,pct_reactivas_otros_programas,periodo
24229,2019,1,0,0,,0,,0,,7660,49,0.0064,4361,11.2,3.2,PREPANDEMIA
24230,2019,2,0,0,,0,,0,,6215,43,0.0069,4361,11.2,3.2,PREPANDEMIA
24231,2019,3,0,0,,0,,0,,6454,50,0.0077,4361,11.2,3.2,PREPANDEMIA
24232,2019,4,0,0,,0,,0,,6076,40,0.0066,4361,11.2,3.2,PREPANDEMIA
24233,2019,5,0,0,,0,,0,,6181,39,0.0063,4361,11.2,3.2,PREPANDEMIA
24234,2019,6,0,0,,0,,0,,5665,59,0.0104,4361,11.2,3.2,PREPANDEMIA
24235,2019,7,0,0,,48,0.2111350574712643,11,0.22916666666666666,5767,30,0.0052,4361,11.2,3.2,PREPANDEMIA
24236,2019,8,0,0,,59,0.19322033898305088,19,0.3220338983050847,5970,54,0.009,4361,11.2,3.2,PREPANDEMIA
24237,2019,9,0,0,,132,0.16825583420411017,48,0.36363636363636365,5843,44,0.0075,4361,11.2,3.2,PREPANDEMIA
24238,2019,10,0,0,,178,0.1801046106160403,57,0.3202247191011236,6107,34,0.0056,4361,11.2,3.2,PREPANDEMIA
24239,2019,11,0,0,,128,0.2077227011494253,29,0.2265625,6254,38,0.0061,4361,11.2,3.2,PREPANDEMIA
24240,2019,12,0,0,,60,0.18237547892720313,19,0.31666666666666665,7332,46,0.0063,4361,11.2,3.2,PREPANDEMIA
24241,2020,1,27504,88,0.0032,267,0.1999418829910887,80,0.299625468164794,7835,40,0.0051,3868,14.3,6.2,PREPANDEMIA
24242,2020,2,27222,92,0.0034,236,0.18967708942139108,80,0.3389830508474576,6333,48,0.0076,3868,14.3,6.2,PREPANDEMIA
24243,2020,3,22500,52,0.0023,201,0.1710842340024018,74,0.3681592039800995,6415,36,0.0056,3868,14.3,6.2,PANDEMIA
24244,2020,4,5177,11,0.0021,0,,0,,8948,48,0.0054,3868,14.3,6.2,PANDEMIA
24245,2020,5,2924,0,0.0,0,,0,,17835,51,0.0029,3868,14.3,6.2,PANDEMIA
24246,2020,6,3700,2,0.0005,0,,0,,13583,32,0.0024,3868,14.3,6.2,PANDEMIA
24247,2020,7,4916,11,0.0022,143,0.12028775821879269,79,0.5524475524475524,10248,33,0.0032,3868,14.3,6.2,PANDEMIA
24248,2020,8,8077,27,0.0033,193,0.11568399737954858,103,0.533678756476684,10316,44,0.0043,3868,14.3,6.2,PANDEMIA
24249,2020,9,10621,68,0.0064,186,0.11522061549870229,105,0.5645161290322581,9542,35,0.0037,3868,14.3,6.2,PANDEMIA
24250,2020,10,13638,43,0.0032,230,0.12125937031484253,130,0.5652173913043478,9787,51,0.0052,3868,14.3,6.2,PANDEMIA
24251,2020,11,11224,44,0.0039,180,0.10693167305236267,100,0.5555555555555556,11383,51,0.0045,3868,14.3,6.2,PANDEMIA
24252,2020,12,7858,33,0.0042,108,0.13686675180928057,52,0.48148148148148145,19140,80,0.0042,3868,14.3,6.2,PANDEMIA
24253,2021,1,5525,17,0.0031,161,0.13725280217034344,71,0.4409937888198758,28389,27,0.001,4679,12.8,2.9,PANDEMIA
24254,2021,2,6527,10,0.0015,194,0.12144507643085674,106,0.5463917525773195,15335,35,0.0023,4679,12.8,2.9,PANDEMIA
24255,2021,3,10826,32,0.003,260,0.13032714412024757,129,0.49615384615384617,11330,37,0.0033,4679,12.8,2.9,PANDEMIA
24256,2021,4,12292,62,0.005,244,0.1293833615978896,123,0.5040983606557377,8256,38,0.0046,4679,12.8,2.9,PANDEMIA
24257,2021,5,13394,77,0.0057,226,0.12516020750686602,111,0.4911504424778761,6873,41,0.006,4679,12.8,2.9,PANDEMIA
24258,2021,6,16574,90,0.0054,216,0.13308322690506602,106,0.49074074074074076,6048,25,0.0041,4679,12.8,2.9,PANDEMIA
24259,2021,7,17832,119,0.0067,185,0.13881329605467546,89,0.4810810810810811,8364,41,0.0049,4679,12.8,2.9,POSTPANDEMIA
24260,2021,8,18880,95,0.005,196,0.13026038001407456,99,0.5051020408163265,11412,35,0.0031,4679,12.8,2.9,POSTPANDEMIA
24261,2021,9,19633,71,0.0036,234,0.12685676392572948,124,0.5299145299145299,8732,39,0.0045,4679,12.8,2.9,POSTPANDEMIA
24262,2021,10,21052,65,0.0031,206,0.1195485994866644,108,0.5242718446601942,6977,36,0.0052,4679,12.8,2.9,POSTPANDEMIA
24263,2021,11,21085,76,0.0036,189,0.11763972511098947,112,0.5925925925925926,6681,46,0.0069,4679,12.8,2.9,POSTPANDEMIA
24264,2021,12,16976,96,0.0057,104,0.13250442086648986,51,0.49038461538461536,6958,40,0.0057,4679,12.8,2.9,POSTPANDEMIA
24265,2022,1,19441,73,0.0038,234,0.11208615777581288,136,0.5811965811965812,9350,49,0.0052,4854,10.7,3.8,POSTPANDEMIA
24266,2022,2,20172,90,0.0045,195,0.12114353079870323,106,0.5435897435897435,8166,35,0.0043,4854,10.7,3.8,POSTPANDEMIA
24267,2022,3,25579,95,0.0037,252,0.12602399197226785,138,0.5476190476190477,6541,41,0.0063,4854,10.7,3.8,POSTPANDEMIA
24268,2022,4,22762,83,0.0036,192,0.12361709770114938,104,0.5416666666666666,5763,44,0.0076,4854,10.7,3.8,POSTPANDEMIA
24269,2022,5,25019,76,0.003,235,0.1228588897040841,130,0.5531914893617021,6108,41,0.0067,4854,10.7,3.8,POSTPANDEMIA
24270,2022,6,25752,61,0.0024,202,0.15260612268123364,80,0.39603960396039606,5787,28,0.0048,4854,10.7,3.8,POSTPANDEMIA
24271,2022,7,24059,93,0.0039,153,0.12623769814439179,79,0.5163398692810458,7029,50,0.0071,4854,10.7,3.8,POSTPANDEMIA
24272,2022,8,28238,93,0.0033,263,0.13616756260652946,122,0.46387832699619774,6426,25,0.0039,4854,10.7,3.8,POSTPANDEMIA
24273,2022,9,26169,65,0.0025,223,0.1366888304726561,100,0.4484304932735426,5791,39,0.0067,4854,10.7,3.8,POSTPANDEMIA
24274,2022,10,26223,97,0.0037,163,0.12593611169875182,79,0.48466257668711654,6394,42,0.0066,4854,10.7,3.8,POSTPANDEMIA
24275,2022,11,25900,49,0.0019,133,0.12342494166450606,68,0.5112781954887218,6156,33,0.0054,4854,10.7,3.8,POSTPANDEMIA
24276,2022,12,22472,81,0.0036,100,0.11527011494252873,54,0.54,7644,51,0.0067,4854,10.7,3.8,POSTPANDEMIA
24277,2023,1,24355,101,0.0041,210,0.13753147235905858,106,0.5047619047619047,7649,48,0.0063,5328,10.1,4.4,POSTPANDEMIA
24278,2023,2,24539,87,0.0035,156,0.1379531388152077,68,0.4358974358974359,6061,36,0.0059,5328,10.1,4.4,POSTPANDEMIA
24279,2023,3,28868,103,0.0036,204,0.13322346179851252,102,0.5,6672,39,0.0058,5328,10.1,4.4,POSTPANDEMIA
24280,2023,4,24445,54,0.0022,149,0.14081616909665967,68,0.4563758389261745,6232,39,0.0063,5328,10.1,4.4,POSTPANDEMIA
24281,2023,5,27624,73,0.0026,189,0.14692878428510622,86,0.455026455026455,6068,39,0.0064,5328,10.1,4.4,POSTPANDEMIA
24282,2023,6,29465,76,0.0026,190,0.12188142770719902,98,0.5157894736842106,6114,42,0.0069,5328,10.1,4.4,POSTPANDEMIA
24283,2023,7,28089,57,0.002,139,0.13602910774828422,64,0.460431654676259,5949,45,0.0076,5328,10.1,4.4,POSTPANDEMIA
24284,2023,8,29422,66,0.0022,129,0.13052659716653298,68,0.5271317829457365,6057,32,0.0053,5328,10.1,4.4,POSTPANDEMIA
24285,2023,9,29296,63,0.0022,161,0.1413257656885842,76,0.4720496894409938,5933,33,0.0056,5328,10.1,4.4,POSTPANDEMIA
24286,2023,10,30745,63,0.002,164,0.1357758620689656,82,0.5,5997,33,0.0055,5328,10.1,4.4,POSTPANDEMIA
24287,2023,11,27313,52,0.0019,156,0.1322465369879163,72,0.46153846153846156,6570,31,0.0047,5328,10.1,4.4,POSTPANDEMIA
24288,2023,12,23520,52,0.0022,63,0.13281335522714832,31,0.49206349206349204,7460,47,0.0063,5328,10.1,4.4,POSTPANDEMIA
